"SubscriptionId","SubscriptionName","ResourceGroupName","VNetName","VNetId","Location","AddressSpace","SubnetCount","WorkloadType","Tags"
"87a97c49-033b-4309-9a17-482c46ced324","DD_EXT_SUB","RG-PRD2-TB360","RG-PRD2-TB360-vnet","/subscriptions/87a97c49-033b-4309-9a17-482c46ced324/resourceGroups/RG-PRD2-TB360/providers/Microsoft.Network/virtualNetworks/RG-PRD2-TB360-vnet","australiaeast","172.20.0.0/16","1","Production","No tags"
"87a97c49-033b-4309-9a17-482c46ced324","DD_EXT_SUB","RG-QTMP-Function-Apps","VNET-QTMP-Function-Apps","/subscriptions/87a97c49-033b-4309-9a17-482c46ced324/resourceGroups/RG-QTMP-Function-Apps/providers/Microsoft.Network/virtualNetworks/VNET-QTMP-Function-Apps","australiaeast","10.100.0.0/24","3","Unknown","No tags"
"87a97c49-033b-4309-9a17-482c46ced324","DD_EXT_SUB","RG-QTMP-Rdrive-FunctionApp-Prod","VNET-QTMP-RDrive-Function-Apps-Prod","/subscriptions/87a97c49-033b-4309-9a17-482c46ced324/resourceGroups/RG-QTMP-Rdrive-FunctionApp-Prod/providers/Microsoft.Network/virtualNetworks/VNET-QTMP-RDrive-Function-Apps-Prod","australiaeast","10.0.0.0/16","1","Production","No tags"
"87a97c49-033b-4309-9a17-482c46ced324","DD_EXT_SUB","RG-QTMP-Rdrive-FunctionApp","VNET-QTMP-RDrive-Function-Apps","/subscriptions/87a97c49-033b-4309-9a17-482c46ced324/resourceGroups/RG-QTMP-Rdrive-FunctionApp/providers/Microsoft.Network/virtualNetworks/VNET-QTMP-RDrive-Function-Apps","australiaeast","10.0.0.0/16","1","Unknown","No tags"
"87a97c49-033b-4309-9a17-482c46ced324","DD_EXT_SUB","RG-TST-SVR-Data-Factory","vm-trs-svr-connector-vnet","/subscriptions/87a97c49-033b-4309-9a17-482c46ced324/resourceGroups/RG-TST-SVR-Data-Factory/providers/Microsoft.Network/virtualNetworks/vm-trs-svr-connector-vnet","australiaeast","10.3.0.0/16","2","Unknown","No tags"
"e59a044b-74a6-4c09-9ec5-d3a4d6a75abe","DD_INT_SUB","RG-DEVBOX-JackByrne","VN-DEVBOX-JackByrne","/subscriptions/e59a044b-74a6-4c09-9ec5-d3a4d6a75abe/resourceGroups/RG-DEVBOX-JackByrne/providers/Microsoft.Network/virtualNetworks/VN-DEVBOX-JackByrne","australiaeast","10.0.0.0/16","1","Non-Production","No tags"
"b75353df-479c-442c-b3f0-7569306c0355","E&U_NonProd_SUB","RG-EU_NonProd-Network","vNET01-EU_NonProd","/subscriptions/b75353df-479c-442c-b3f0-7569306c0355/resourceGroups/RG-EU_NonProd-Network/providers/Microsoft.Network/virtualNetworks/vNET01-EU_NonProd","australiaeast","10.156.31.0/24","5","Production","No tags"
"73e300a9-7690-4f67-a111-28772d97b016","E&U_Prod_SUB","RG-EU_Prod-Network","vNET01-EU_Prod","/subscriptions/73e300a9-7690-4f67-a111-28772d97b016/resourceGroups/RG-EU_Prod-Network/providers/Microsoft.Network/virtualNetworks/vNET01-EU_Prod","australiaeast","10.156.30.0/24","5","Production","No tags"
"fd931109-764a-4d40-ac3b-6e75fb51bf31","ECM_PRD_SUB","rg-assetservices-osi","industrialandenergysftp_vNet5506452","/subscriptions/fd931109-764a-4d40-ac3b-6e75fb51bf31/resourceGroups/rg-assetservices-osi/providers/Microsoft.Network/virtualNetworks/industrialandenergysftp_vNet5506452","australiaeast","10.0.0.0/16","1","Production","No tags"
"5f6f109e-8077-4fce-a032-3d411e57b8f6","GRP_AVDLandingZone_SUB","RG-NonPRD-AVD-Net-AZE","vNET01-NonPRD-AVD-LZ-DownerAU-AZE","/subscriptions/5f6f109e-8077-4fce-a032-3d411e57b8f6/resourceGroups/RG-NonPRD-AVD-Net-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-NonPRD-AVD-LZ-DownerAU-AZE","australiaeast","10.150.220.0/23","1","Production","No tags"
"5f6f109e-8077-4fce-a032-3d411e57b8f6","GRP_AVDLandingZone_SUB","RG-NonPRD-AVD-Net-AZE","vNET01-NonPRD-AVD-LZ-DownerNZ-AZE","/subscriptions/5f6f109e-8077-4fce-a032-3d411e57b8f6/resourceGroups/RG-NonPRD-AVD-Net-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-NonPRD-AVD-LZ-DownerNZ-AZE","australiaeast","10.150.222.0/24","1","Production","No tags"
"5f6f109e-8077-4fce-a032-3d411e57b8f6","GRP_AVDLandingZone_SUB","RG-NonPRD-AVD-Net-AZE","vNET01-NonPRD-AVD-LZ-Spotless-AZE","/subscriptions/5f6f109e-8077-4fce-a032-3d411e57b8f6/resourceGroups/RG-NonPRD-AVD-Net-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-NonPRD-AVD-LZ-Spotless-AZE","australiaeast","10.150.223.0/24","1","Production","No tags"
